Ref,Val,Package,PosX,PosY,Rot,Side
"D21","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",119.999993,-120.000000,180.000000,top
"D22","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",129.333326,-120.000000,180.000000,top
"D23","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",138.666659,-120.000000,180.000000,top
"D24","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",147.999992,-120.000000,180.000000,top
"D25","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",157.333325,-120.000000,180.000000,top
"D26","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",166.666658,-120.000000,180.000000,top
"D27","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",175.999991,-120.000000,180.000000,top
"D28","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",185.333324,-120.000000,180.000000,top
"D29","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",194.666657,-120.000000,180.000000,top
"D30","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",203.999990,-120.000000,180.000000,top
"D31","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",213.333323,-120.000000,180.000000,top
"D32","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",222.666656,-120.000000,180.000000,top
"D33","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",231.999989,-120.000000,180.000000,top
"D34","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",241.333322,-120.000000,180.000000,top
"D35","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",250.666655,-120.000000,180.000000,top
"D36","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",259.999988,-120.000000,180.000000,top
"D37","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",269.333321,-120.000000,180.000000,top
"D38","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",278.666654,-120.000000,180.000000,top
"D39","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",287.999987,-120.000000,180.000000,top
"D40","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",297.333320,-120.000000,180.000000,top
"D41","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",306.666653,-120.000000,180.000000,top
"D42","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",315.999986,-120.000000,180.000000,top
"D43","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",325.333319,-120.000000,180.000000,top
"D44","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",334.666652,-120.000000,180.000000,top
"D45","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",343.999985,-120.000000,180.000000,top
"D46","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",353.333318,-120.000000,180.000000,top
"D47","WS2812B-B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",362.666667,-120.000000,180.000000,top
"D48","D_Schottky","D_SMA",140.335000,-10.890000,90.000000,top
"D49","D_Schottky","D_SMA",124.460000,-10.890000,90.000000,top
"R1","10k","R_0603_1608Metric",-17.780000,-136.080000,270.000000,top
"R2","10k","R_0603_1608Metric",317.500000,-136.080000,270.000000,top
"R3","10k","R_0603_1608Metric",205.740000,-136.080000,270.000000,top
"R4","10k","R_0603_1608Metric",93.980000,-136.080000,270.000000,top
"R5","5.1k","R_0603_1608Metric",150.340000,-15.000000,0.000000,top
"R6","5.1k","R_0603_1608Metric",150.340000,-17.000000,0.000000,top
"U2","74HC4051D","SOIC-16_3.9x9.9mm_P1.27mm",-12.700000,-133.350000,0.000000,top
"U3","74HC4051D","SOIC-16_3.9x9.9mm_P1.27mm",322.580000,-133.350000,0.000000,top
"U4","74HC4051D","SOIC-16_3.9x9.9mm_P1.27mm",210.820000,-133.350000,0.000000,top
"U5","74HC4051D","SOIC-16_3.9x9.9mm_P1.27mm",99.060000,-133.350000,0.000000,top
